STRING ID,DESCRIPTION,ENGLISH (US),ENGLISH (UK),FRANÇAIS,FRANÇAIS (QUÉBEC),ESPAÑOL,DEUTSCH,ITALIANO,PORTUGUÊS,РУССКИЙ,ΕΛΛΗΝΙΚΑ,TURKISH,DANSK / DANISH,NORWEGIAN (NB),SWEDISH,DUTCH,العربية,POLSKI,JAPANESE(日本語),简体中文 (ZH_CN),FINNISH,"עברית / Hebrew
"
MENU_HARD,,Hard,Hard,Difficile,Difficile,Dificil,Schwer,Difficile,Difícil,Сложно,Δύσκολο,Zor,Svært,Vanskelig,Svårt,Moeilijk,صعب,Trudny,,困难,Vaikea,קשה
MENU_VERY_HARD,,Very Hard,Very Hard,Très difficile,Très difficile,Muy dificil,Sehr schwer,Molto difficile,Muito Difícil,Очень сложно,Πολύ δύσκολο,Çok Zor,Meget Svært,Veldig Vanskelig,Väldigt svårt,Zeer moeilijk,صعب جدا,Bardzo trudny,,非常困难,Erittäin vaikea,קשה במיוחד
MENU_INSANE,,Insane,Insane,Dément,Dément,Enfermizo,Verrückt,Folle,Insano,Безумно,Τρελά δύσκολο,Deli,Sindsygt,,Galet,Krankzinnig,مجنون,Szalony,,疯狂,Älytön,מטורף
MENU_IMPOSSIBLE,,Impossible,Impossible,Impossible,Impossible,Imposible,Unmöglich,Impossibile,Impossível,Невозможно,Ακατόρθωτα δύσκολο,İmkansız,Umulig,Umulig,Omöjligt,Onmogelijk,مستحيل,Niemożliwy,,不可能,Mahdoton,בלתי אפשרי
MENU_THANK_YOU,,Thank you!,Thank you!,Merci !,Merci!,¡Gracias!,Danke!,Grazie!,Obrigado!,Спасибо!,Ευχαριστώ!,Teşekürler!,Tak!,Takk!,Tack!,Bedankt!,شكرا لك!,Dziekuje!,,谢谢！,Kiitos!,תודה!
MENU_GOODBYE,,Goodbye!,Goodbye!,Au revoir !,Bye!,¡Adios!,Tschüss!,Arrivederci!,Adeus!,До свидания!,Αντίο!,Güle güle!,Farvel!,Ha det!,Farväl!,Vaarwel!,مع السلامة!,Do zobaczenia!,,再见！,Näkemiin!,להתראות!
MENU_ARE_YOU_SURE,A generic confirmation,Are you sure?,Are you sure?,Êtes-vous certain ?,Êtes-vous certain?,¿Está seguro?,Sind Sie sicher?,Sei sicuro?,Você tem certeza?,Вы уверены?,Είσαστε σίγουρος;,Emin misinz?,Er du sikker?,Er du sikker?,Är du säker?,Weet je dit zeker?,هل انت متأكد؟,Czy jesteś pewien?,,你确定吗？,Oletko varma?,אתה בטוח?
MENU_SINGLE_PLAYER,,Single player,Single player,Solo,Solo,Solo,Einzelspielermodus,Giocatore singolo,Um jogador,Одиночная игра,Ένας παίχτης,Tek oyuncu,Enkel spiller,Enkeltspiller,En spelare,Een speler,لاعب واحد,Jeden gracz,,单人模式,Yksinpeli,משחק יחיד
MENU_MULTIPLAYER,,Multiplayer,Multiplayer,Multijoueur,Multijoueur,Multijugador,Mehrspielermodus,Multiplayer,Multijogador,Многопользовательская игра,Πολλοί παίχτες,,Flere spillere,Flerspiller,Flera spelare,Meerdere spelers,عدة لاعبين,Gra wieloosobowa,,联机模式,Moninpeli,משחק רשת
MENU_ONLINE_MULTIPLAYER,,Online Multiplayer,Online Multiplayer,Multijoueur en ligne,Multijoueur en ligne,Multijugador Online,Netzwerk Mehrspielermodus,Multiplayer Online,Multijogador em rede,Многопользовательская игра онлайн,Πολλοί δικτυακοί παίχτες,,Online flere spillere,Online flere spiller,Online-flerspelarläge,Online Multiplayer,عدة لاعبين اونلاين,Gra online,,在线联机,Internet Moninpeli,משחק רשת חיצוני
MENU_LOCAL_MULTIPLAYER,,Local Multiplayer,Local Multiplayer,Multijoueur local,Multijoueur local,Multijugador Local,Lokaler Mehrspielermodus,Multiplayer in locale,Multijogador local,Многопользовательская игра в локальной сети,Πολλοί τοπικοί παίχτες,,Lokal flere spillere,Lokal flere spiller,Lokalt flerspelarläge,Lokale Multiplayer,عدة لاعبين محلي,Gra wieloosobowa - lokalnie,,本地联机,Paikallinen moninpeli,משחק רשת פנימי
MENU_SPLITSCREEN,,Splitscreen,Splitscreen,Écran divisée,Écran divisée,Pantalla compartida,Splitscreen,Schermo Condiviso,Tela dividida,Игра с разделением экрана,Χωρισμένη οθόνη,,Delt skærm,Delt Skjerm,Delad skärm,,اقتسام الشاشة,Podzielony ekran,,分屏,Jaettu näyttö,מסך מפוצל
MENU_COOP,,Co-op,Co-op,Co-op,Co-op,Co-op,Kooperativ,Co-op,Co-op,Co-op,Συνεργατικό,,Co-op,Co-op,"Co-op
",,تعاوني,Współpraca,,合作,"Co-op
","שת""פ"
MENU_COOPERATIVE,,Cooperative,Cooperative,Coopératif,Coopérative,Cooperativo,Kooperativ,Cooperativo,Cooperativo,Совместное прохождение,Συνεργατικό,,Kooperativt,,Kooperativt,,تعاوني,Współpraca,,合作模式,Yhteistyö,שיתוף פעולה
MENU_VERSUS,,Versus,Versus,Versus,Versus,Enfrentado,Gegeneinander,Sfida,Versus,против,Αντίπαλοι,,Versus,,Kontra,,ضد,Kontra,,对抗模式,Vastakkain,אחד מול השני
MENU_DEATHMATCH,,Deathmatch,Deathmatch,Match à mort,Match à mort,Encuentro a muerte,Deathmatch,Deathmatch,Mata-mata,,Αγώνας μέχρι θανάτου,,Deatmatch,Dødsmatch,Dödsmatch,,لعبة حتى الموت,Deathmatch,,死亡竞赛,Deathmatch,כולם נגד כולם
