STRING ID,DESCRIPTION,ENGLISH (US),ENGLISH (UK),FRANÇAIS,FRANÇAIS (QUÉBEC),ESPAÑOL,DEUTSCH,ITALIANO,PORTUGUÊS,РУССКИЙ,ΕΛΛΗΝΙΚΑ,TURKISH,DANSK / DANISH,NORWEGIAN (NB),SWEDISH,DUTCH,العربية,简体中文(ZH_CN),FINNISH,"עברית / Hebrew
"
GAME_ENEMY_FEMALE_PLURAL,,Enemies,Enemies,Ennemies,,Enemigas,Gegnerinnen,Nemiche,Inimigos,Враги,Εχθροί,,Fjender,,Fiender,Vijanden,الاعداء,敌人,Vastustajat,אויבות
GAME_MALE,,Male,Male,Mâle,,Masculino,Männlich,Maschio,Masculino,Мужчина,Αρσενικό,,Mandlig,,Manlig,Man,ذكر,男性,Mies,זכר
GAME_FEMALE,,Female,Female,Femelle,,Femenino,Weiblich,Femmina,Feminino,Женщина,Θηλυκό,,Kvindelig,,Kvinnlig,Vrouw,انثى,女性,Nainen,נקבה
GAME_TRANSGENDER,,Transgender,Transgender,Transsexuel,,Transexual,Transsexuell,Trans,Transgênero,Трансгендер,Διαφυλικό,,Transsexuel,,Transsexuell,Transgender,متحوّل,跨性别,Transseksuaali,טרנסג'נדר
GAME_MAN,,Man,Man,Homme,,Hombre,Mann,Uomo,Homem,Мужчина,Άντρας,,Mand,Mann,Man,Man,رجل,男人,Mies,גבר
GAME_MAN_PLURAL,,Men,Men,Hommes,,Hombres,Männer,Uomini,Homens,Мужчины,Άντρες,,Mænd,Menn,Män,Mannen,رجال,男人,Miehet,גברים
GAME_WOMAN,,Woman,Woman,Femme,,Mujer,Frau,Donna,Mulher,Женщина,Γυναίκα,,Kvinde,Kvinne,Kvinna,Vrouw,امرأة,女人,Nainen,אשה
GAME_WOMAN_PLURAL,,Women,Women,Femmes,,Mujeres,Frauen,Donne,Mulheres,Женщины,Γυναίκες,,Kvinder,Kvinner,Kvinnor,Vrouwen,نساء,女人,Naiset,נשים
GAME_DRAGON,,Dragon,Dragon,Dragon,,Dragón,Drache,Drago,Dragão,Дракон,Δράκος,,Drage,Drage,Drake,Draak,تنين,龙,Lohikäärme,דרקון
GAME_DRAGON_PLURAL,,Dragons,Dragons,,,,Drachen,Draghi,Dragões,Драконы,,,Drager,,Drakar,Draken,تنانين,龙,,דרקונים
GAME_ZOMBIE,,Zombie,Zombie,Zombie,,Zombi,Zombie,Zombie,Zumbi,Зомби,Ζόμπι,,Zombie,,Zombie,Zombie,زومبي,僵尸,Zombie,זומבי
GAME_ZOMBIE_PLURAL,,Zombies,Zombies,Zombies,,Zombis,Zombies,Zombie,Zumbis,Зомби,Ζόμπι,,Zombier,,Zombier,Zombies,زومبيون,僵尸,Zombie,זומבים
GAME_TIME,For countdown timers or elapsed time,Time,Time,Temps,,Tiempo,Zeit,Tempo,Tempo,Время,Χρόνος,,Tid,Tid,Tid,Tijd,الوقت,时间,Aika,זמן שעבר
